name,location,link_hotel,score,desc,lat,long
Le Mouton Blanc,Le Mont-Saint-Michel,https://www.booking.com/hotel/fr/le-mouton-blanc-le-mont-saint-michel.fr.html?label=gen173nr-1FCAMY6QcoggJCFGxlLW1vbnQtc2FpbnQtbWljaGVsSA1YBGhNiAEBmAENuAEXyAEM2AEB6AEB-AECiAIBqAIDuAKB17GrBsACAdICJDg4M2I0ZDg1LTdiZGEtNGI5MS05MjExLWJhYjE0NWIyMDA3ZdgCBeACAQ&sid=7b22e227a8ea6739232d25005f5cb178&aid=304142&ucfs=1&arphpl=1&checkin=2024-05-22&checkout=2024-05-23&dest_id=900039327&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=dd9e3f05505d00a6&srepoch=1703408267&all_sr_blocks=19204912_129559864_0_33_0&highlighted_blocks=19204912_129559864_0_33_0&matching_block_id=19204912_129559864_0_33_0&sr_pri_blocks=19204912_129559864_0_33_0__17000&from=searchresults#hotelTmpl,"7,1","Situé au pied de l'abbaye, le Mouton Blanc Hotel vous accueille dans son bâtiment historique datant du XIVe siècle. Il propose des chambres confortables avec une décoration simple et accueillante.

Les chambres sont réparties dans 3 bâtiments dont un offre des vues sur le Mont-Saint-Michel et un autre comporte des chambres de style médiéval.

Le restaurant du Mouton Blanc vous servira une cuisine locale traditionnelle dans la salle à manger ou sur la terrasse. Vous dégusterez aussi un petit-déjeuner chaque matin.

Enfin lors de votre séjour au Mouton Blanc Hotel, vous pourrez bénéficier de services personnalisés sur demande pour des visites, des loisirs et d'autres activités.",48.63602298,-1.50989592
Les Terrasses Poulard,Le Mont-Saint-Michel,https://www.booking.com/hotel/fr/les-terrasses-poulard.fr.html?label=gen173nr-1FCAMY6QcoggJCFGxlLW1vbnQtc2FpbnQtbWljaGVsSA1YBGhNiAEBmAENuAEXyAEM2AEB6AEB-AECiAIBqAIDuAKB17GrBsACAdICJDg4M2I0ZDg1LTdiZGEtNGI5MS05MjExLWJhYjE0NWIyMDA3ZdgCBeACAQ&sid=7b22e227a8ea6739232d25005f5cb178&aid=304142&ucfs=1&arphpl=1&checkin=2024-05-22&checkout=2024-05-23&dest_id=900039327&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=dd9e3f05505d00a6&srepoch=1703408267&all_sr_blocks=23079411_129559369_0_33_0&highlighted_blocks=23079411_129559369_0_33_0&matching_block_id=23079411_129559369_0_33_0&sr_pri_blocks=23079411_129559369_0_33_0__19400&from=searchresults#hotelTmpl,"7,4","Occupant 2 bâtiments différents au cœur du Mont-Saint-Michel, l’établissement historique Les Terrasses Poulard propose des hébergements avec une vue sur la baie, le village et la rue.

Décorées dans un style moderne, les chambres sont accessibles par des escaliers. Certaines présentent de grandes fenêtres donnant sur la baie. Toutes sont dotées d’une télévision et d’une salle de bains privative.

Le petit-déjeuner est servi au restaurant La Confiance, à 2 minutes à pied. Spécialisé dans la cuisine française et régionale, il est également ouvert pour le déjeuner et le dîner. Vous pourrez également prendre vos repas, boissons et collations au restaurant La Confiance, sur place.

L’établissement Les Terrasses Poulard comporte un bar. La réception est ouverte 24h/24 et vous pourrez laisser vos bagages à la réception.

La région constitue un cadre idéal pour diverses activités telles que la pêche, le vélo et la randonnée à pied.",48.63602298,-1.50989592
Le Saint Aubert,Le Mont-Saint-Michel,https://www.booking.com/hotel/fr/hotel-saint-aubert.fr.html?label=gen173nr-1FCAMY6QcoggJCFGxlLW1vbnQtc2FpbnQtbWljaGVsSA1YBGhNiAEBmAENuAEXyAEM2AEB6AEB-AECiAIBqAIDuAKB17GrBsACAdICJDg4M2I0ZDg1LTdiZGEtNGI5MS05MjExLWJhYjE0NWIyMDA3ZdgCBeACAQ&sid=7b22e227a8ea6739232d25005f5cb178&aid=304142&ucfs=1&arphpl=1&checkin=2024-05-22&checkout=2024-05-23&dest_id=900039327&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=dd9e3f05505d00a6&srepoch=1703408267&all_sr_blocks=23081106_129559930_0_0_0&highlighted_blocks=23081106_129559930_0_0_0&matching_block_id=23081106_129559930_0_0_0&sr_pri_blocks=23081106_129559930_0_0_0__8800&from=searchresults#hotelTmpl,"7,1","Niché dans un écrin de verdure, à seulement 2 km du Mont-Saint-Michel, Le Saint Aubert vous accueille dans un cadre chaleureux et convivial.

Cet établissement vous propose des chambres paisibles et confortables entourées de jardins fleuris.

Après une journée de découverte du Mont-Saint-Michel, vous pourrez déguster une délicieuse cuisine régionale dans le cadre pittoresque d'une ancienne ferme.

Le personnel serviable sera heureux de vous recommander un grand nombre de sites d'intérêt et les visites à faire dans la région.",48.63602298,-1.50989592
La Vieille Auberge,Le Mont-Saint-Michel,https://www.booking.com/hotel/fr/la-vieille-auberge-le-mont-saint-michel.fr.html?label=gen173nr-1FCAMY6QcoggJCFGxlLW1vbnQtc2FpbnQtbWljaGVsSA1YBGhNiAEBmAENuAEXyAEM2AEB6AEB-AECiAIBqAIDuAKB17GrBsACAdICJDg4M2I0ZDg1LTdiZGEtNGI5MS05MjExLWJhYjE0NWIyMDA3ZdgCBeACAQ&sid=7b22e227a8ea6739232d25005f5cb178&aid=304142&ucfs=1&arphpl=1&checkin=2024-05-22&checkout=2024-05-23&dest_id=900039327&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=dd9e3f05505d00a6&srepoch=1703408267&all_sr_blocks=66534401_372743610_0_2_0&highlighted_blocks=66534401_372743610_0_2_0&matching_block_id=66534401_372743610_0_2_0&sr_pri_blocks=66534401_372743610_0_2_0__18060&from=searchresults#hotelTmpl,"7,3","La Vieille Auberge vous accueille dans le village médiéval du Mont-Saint-Michel, à quelques pas de la célèbre abbaye du Mont-Saint-Michel. L’établissement propose une connexion Wi-Fi gratuite, un restaurant et une terrasse avec vue sur la baie du Mont-Saint-Michel.

Les chambres sont aménagées dans 2 bâtiments annexes et accessibles par de multiples escaliers. Un bâtiment comprend des chambres standard donnant sur la rue principale et l’autre bâtiment, situé en haut du village, abrite des chambres avec vue sur la mer. Tous les logements disposent d’une télévision à écran plat et d’une salle de bains privative avec une baignoire ou une douche.

L’hôtel comporte un bar et un restaurant servant une cuisine française traditionnelle.

Vous séjournerez à 24 km d’Avranches et à 49 km de Cancale. La ville de Dol-de-Bretagne se trouve à 30 km.",48.63534943,-1.51037872
Hôtel Vert,Le Mont-Saint-Michel,https://www.booking.com/hotel/fr/vert.fr.html?label=gen173nr-1FCAMY6QcoggJCFGxlLW1vbnQtc2FpbnQtbWljaGVsSA1YBGhNiAEBmAENuAEXyAEM2AEB6AEB-AECiAIBqAIDuAKB17GrBsACAdICJDg4M2I0ZDg1LTdiZGEtNGI5MS05MjExLWJhYjE0NWIyMDA3ZdgCBeACAQ&sid=7b22e227a8ea6739232d25005f5cb178&aid=304142&ucfs=1&arphpl=1&checkin=2024-05-22&checkout=2024-05-23&dest_id=900039327&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=dd9e3f05505d00a6&srepoch=1703408267&all_sr_blocks=27570604_91917367_0_2_0&highlighted_blocks=27570604_91917367_0_2_0&matching_block_id=27570604_91917367_0_2_0&sr_pri_blocks=27570604_91917367_0_2_0__10060&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"8,0","L’Hotel Vert vous propose des chambres décorées dans des tons pastel, dotées d’une salle de bains privative, d’une télévision ainsi que d’une connexion Wi-Fi gratuite. Il vous accueille à 2 km de l’île intertidale du Mont Saint-Michel, sur la côte normande.

Lors de votre séjour, vous pourrez déguster une cuisine régionale au restaurant du Vert, La salicorne. Vous pourrez également apprécier le bar de l'hôtel, L'Equinoxe, qui s'ouvre sur une terrasse privée.

Le Vert Hotel met également à votre disposition une réception ouverte 24h/24 ainsi qu’un parking privé. Vous bénéficierez aussi d’un supermarché et d’une boutique de souvenirs sur place.",48.63534943,-1.51037872
Le Relais Du Roy,Le Mont-Saint-Michel,https://www.booking.com/hotel/fr/le-relais-du-roy.fr.html?label=gen173nr-1FCAMY6QcoggJCFGxlLW1vbnQtc2FpbnQtbWljaGVsSA1YBGhNiAEBmAENuAEXyAEM2AEB6AEB-AECiAIBqAIDuAKB17GrBsACAdICJDg4M2I0ZDg1LTdiZGEtNGI5MS05MjExLWJhYjE0NWIyMDA3ZdgCBeACAQ&sid=7b22e227a8ea6739232d25005f5cb178&aid=304142&ucfs=1&arphpl=1&checkin=2024-05-22&checkout=2024-05-23&dest_id=900039327&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=dd9e3f05505d00a6&srepoch=1703408267&all_sr_blocks=5356006_91458198_0_2_0&highlighted_blocks=5356006_91458198_0_2_0&matching_block_id=5356006_91458198_0_2_0&sr_pri_blocks=5356006_91458198_0_2_0__10500&from=searchresults#hotelTmpl,"8,0","Le Relais Du Roy est un hôtel 3 étoiles situé au bord du Couesnon, à seulement 1,5 km du Mont Saint-Michel et à 50 mètres de la navette gratuite.

Décorées dans un style classique, toutes les chambres comprennent une télévision par satellite à écran plat, un téléphone et un plateau de bienvenue. Elles comprennent également une salle de bains privative pourvue d’une baignoire ou d’une douche, d’articles de toilettes gratuits et d’un sèche-cheveux. Certaines chambres possèdent un balcon.

Un petit-déjeuner buffet est servi tous les matins.

Une épicerie se trouve à moins de 3 minutes à pied. La ville de Pontorson est quant à elle accessible à 7 km. Un espace de stationnement privé est disponible moyennant des frais supplémentaires.",48.63534943,-1.51037872
La Mère Poulard,Le Mont-Saint-Michel,https://www.booking.com/hotel/fr/la-mere-poulard.fr.html?label=gen173nr-1FCAMY6QcoggJCFGxlLW1vbnQtc2FpbnQtbWljaGVsSA1YBGhNiAEBmAENuAEXyAEM2AEB6AEB-AECiAIBqAIDuAKB17GrBsACAdICJDg4M2I0ZDg1LTdiZGEtNGI5MS05MjExLWJhYjE0NWIyMDA3ZdgCBeACAQ&sid=7b22e227a8ea6739232d25005f5cb178&aid=304142&ucfs=1&arphpl=1&checkin=2024-05-22&checkout=2024-05-23&dest_id=900039327&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=dd9e3f05505d00a6&srepoch=1703408267&all_sr_blocks=23079315_227827700_0_33_0&highlighted_blocks=23079315_227827700_0_33_0&matching_block_id=23079315_227827700_0_33_0&sr_pri_blocks=23079315_227827700_0_33_0__21500&from=searchresults#hotelTmpl,"7,1","Occupant un bâtiment historique, l'hôtel La Mère Poulard jouit d'un emplacement idéal au cœur du Mont-Saint-Michel. Décorées dans un style classique, ses chambres donnent sur la baie, l'abbaye ou la cité médiévale.

Toutes les chambres de l'hôtel La Mère Poulard sont équipées d'une télévision à écran plat et d'une connexion Wi-Fi gratuite. Leur salle de bains privative comporte une baignoire.

Au prestigieux restaurant de l'hôtel La Mère Poulard, vous pourrez savourer des plats traditionnels dont sa fameuse omelette connue dans le monde entier. Vous pourrez tranquillement prendre un verre au piano-bar qui surplombe la baie du Mont-Saint-Michel.

L'hôtel possède un magasin spécialisé dans les produits gastronomiques régionaux. La réception est ouverte 24h/24.

Vous pourrez choisir parmi de nombreuses activités dont les randonnées pédestres, les balades à vélo ou bien la visite du Mont-Saint-Michel. Avranches se trouve à 23 minutes de route et Saint-Malo à 45 minutes de La Mère Poulard.",48.61293783,-1.51010513
Le Relais Saint Michel,Le Mont-Saint-Michel,https://www.booking.com/hotel/fr/le-relais-saint-michel.fr.html?label=gen173nr-1FCAMY6QcoggJCFGxlLW1vbnQtc2FpbnQtbWljaGVsSA1YBGhNiAEBmAENuAEXyAEM2AEB6AEB-AECiAIBqAIDuAKB17GrBsACAdICJDg4M2I0ZDg1LTdiZGEtNGI5MS05MjExLWJhYjE0NWIyMDA3ZdgCBeACAQ&sid=7b22e227a8ea6739232d25005f5cb178&aid=304142&ucfs=1&arphpl=1&checkin=2024-05-22&checkout=2024-05-23&dest_id=900039327&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=dd9e3f05505d00a6&srepoch=1703408267&all_sr_blocks=23079517_347524637_2_1_0&highlighted_blocks=23079517_347524637_2_1_0&matching_block_id=23079517_347524637_2_1_0&sr_pri_blocks=23079517_347524637_2_1_0__30900&from=searchresults#hotelTmpl,"7,9","Le Relais Saint Michel vous accueille face à la baie du Mont-Saint-Michel. Les chambres de cet hôtel (à l'exception de la chambre lits jumeaux Saint-Michel avec vue intérieure) possèdent toutes une terrasse privée et certaines vous offrent une vue panoramique sur le Mont-Saint-Michel.

Insonorisées, confortables et spacieuses, les chambres sont dotées d'équipements modernes, dont un minibar et une connexion Wi-Fi gratuite. Leurs salles de bains sont privatives.

Le restaurant de l'hôtel vous servira une cuisine traditionnelle. Lors de votre séjour, vous pourrez prendre un verre ou un repas sur la terrasse qui offre une vue sur le Mont-Saint-Michel.

Un service de navette gratuit s'arrête en face de l'établissement et relie le célèbre Mont-Saint-Michel en seulement 10 minutes. Des gilets de sécurité vous seront proposés si vous souhaitez faire une promenade la nuit. Par ailleurs, si vous arrivez en voiture, vous pourrez profiter d'un espace de stationnement surveillé moyennant des frais supplémentaires.",48.61293783,-1.51010513
Auberge Saint Pierre,Le Mont-Saint-Michel,https://www.booking.com/hotel/fr/auberge-saint-pierre.fr.html?label=gen173nr-1FCAMY6QcoggJCFGxlLW1vbnQtc2FpbnQtbWljaGVsSA1YBGhNiAEBmAENuAEXyAEM2AEB6AEB-AECiAIBqAIDuAKB17GrBsACAdICJDg4M2I0ZDg1LTdiZGEtNGI5MS05MjExLWJhYjE0NWIyMDA3ZdgCBeACAQ&sid=7b22e227a8ea6739232d25005f5cb178&aid=304142&ucfs=1&arphpl=1&checkin=2024-05-22&checkout=2024-05-23&dest_id=900039327&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=dd9e3f05505d00a6&srepoch=1703408267&all_sr_blocks=5721302_372743567_0_2_0&highlighted_blocks=5721302_372743567_0_2_0&matching_block_id=5721302_372743567_0_2_0&sr_pri_blocks=5721302_372743567_0_2_0__27700&from=searchresults#hotelTmpl,"8,0","L'Auberge Saint-Pierre occupe une maison à colombages du XIVe siècle située au Mont-Saint-Michel, une île accessible à marée basse. Elle allie le charme d'époque des poutres apparentes à des éléments de confort moderne comme une télévision et une connexion Wi-Fi gratuite. 

Les chambres de l'Auberge Saint Pierre disposent d'une salle de bains privative avec une baignoire ou une douche. Certaines offrent une vue sur la mer. 

L'établissement sert un petit-déjeuner buffet tous les matins. Vous pourrez prendre vos repas au restaurant authentique présent sur place qui sert une cuisine normande traditionnelle et des plats de poisson.

Installé dans la rue principale menant à l'abbaye, cet hôtel constitue un pied-à-terre idéal pour visiter le mont Saint-Michel. Certaines chambres se trouvent dans 2 bâtiments séparés accessibles par de nombreuses marches.",48.61293783,-1.51010513
Hotel Gabriel,Le Mont-Saint-Michel,https://www.booking.com/hotel/fr/hotel-gabriel.fr.html?label=gen173nr-1FCAMY6QcoggJCFGxlLW1vbnQtc2FpbnQtbWljaGVsSA1YBGhNiAEBmAENuAEXyAEM2AEB6AEB-AECiAIBqAIDuAKB17GrBsACAdICJDg4M2I0ZDg1LTdiZGEtNGI5MS05MjExLWJhYjE0NWIyMDA3ZdgCBeACAQ&sid=7b22e227a8ea6739232d25005f5cb178&aid=304142&ucfs=1&arphpl=1&checkin=2024-05-22&checkout=2024-05-23&dest_id=900039327&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=dd9e3f05505d00a6&srepoch=1703408267&all_sr_blocks=17149402_91909906_0_2_0&highlighted_blocks=17149402_91909906_0_2_0&matching_block_id=17149402_91909906_0_2_0&sr_pri_blocks=17149402_91909906_0_2_0__11200&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"7,9","L’Hotel Gabriel vous accueille à 1,6 km du Mont-Saint-Michel. L’établissement est à seulement 25 minutes à pied des remparts de la vieille ville. Il propose une connexion Wi-Fi gratuite ainsi que des chambres avec salle de bains privative.

Accessibles par des escaliers, les chambres spacieuses de l'hôtel comprennent la télévision par satellite. Chaque hébergement dispose d’une salle de bains pourvue d’une douche.

Un petit-déjeuner buffet est disponible tous les matins. La Rôtisserie sert des spécialités normandes et bretonnes.

L’Hotel Gabriel est situé à 6 minutes en voiture de l’autoroute E401. Vous séjournerez également à 7,3 km de la gare TGV de Pontorson, qui dessert Paris.

La Salicorne vous propose une cuisine du monde authentique, végétale, colorée, festive et écoresponsable.",48.63606300,-1.51145700
